observationID,deploymentID,mediaID,eventID,eventStart,eventEnd,observationLevel,observationType,deviceSetupType,scientificName,count,lifeStage,sex,behavior,individualID,individualPositionRadius,individualPositionAngle,individualSpeed,bboxX,bboxY,bboxWidth,bboxHeight,freqLow,freqHigh,classificationMethod,classifiedBy,classificationTimestamp,classificationProbability,observationTags,observationComments
86896MD01_016K_M04_multi_20180715_124500Z.aif_5738,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180715_124500Z.aif,,,,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.517887,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180715_171500Z.aif_5813,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180715_171500Z.aif,,,,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.506196,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180715_171500Z.aif_5815,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180715_171500Z.aif,,,,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.521397,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180715_193000Z.aif_5936,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180715_193000Z.aif,,,,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.502914,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180715_193000Z.aif_5937,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180715_193000Z.aif,,,,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.587506,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180715_193000Z.aif_5950,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180715_193000Z.aif,,,,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.557525,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180715_194500Z.aif_5961,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180715_194500Z.aif,,,,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.563551,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180715_194500Z.aif_5971,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180715_194500Z.aif,,,,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.59408,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180719_161500Z.aif_6201,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180719_161500Z.aif,,,,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.544272,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180720_014500Z.aif_6300,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180720_014500Z.aif,,,,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.516512,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180720_020000Z.aif_6331,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180720_020000Z.aif,,,,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.524219,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180720_020000Z.aif_6362,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180720_020000Z.aif,,,,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.595807,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180720_020000Z.aif_6425,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180720_020000Z.aif,,,,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.521938,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180720_021500Z.aif_6557,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180720_021500Z.aif,,,,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.6461,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180720_021500Z.aif_6624,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180720_021500Z.aif,,,,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.572109,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180720_023000Z.aif_6757,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180720_023000Z.aif,,,,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.534492,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180720_024500Z.aif_6987,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180720_024500Z.aif,,,,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.528249,1-4-f,parm file = FW2O_p25.mat
